nome_prodest;nome_funcao;classe;readr
CodFamiliarFam;d.cod_familiar_fam;numeric;d
DatAtualizacaoFamilia;dat_atual_fam;character;c
DatCadastramentoFam;dat_cadastramento_fam;character;c
CodMunicIbge5Fam;cd_ibge;numeric;d
CodEstCadastralFam;cod_est_cadastral_fam;numeric;d
CodEstCadastralMemb;cod_est_cadastral_memb;numeric;d
VlrRendaMediaFam;vlr_renda_media_fam;character;c
IndTrabalhoInfantilPessoa;ind_trabalho_infantil_pessoa;numeric;d
CodEspecieDomicFam;cod_especie_domic_fam;numeric;d
QtdComodosDormitorioFam;qtd_comodos_dormitorio_fam;numeric;d
CodMaterialDomicFam;cod_material_domic_fam;numeric;d
CodAbasteAguaDomicFam;cod_abaste_agua_domic_fam;numeric;d
CodBanheiroDomicFam;cod_banheiro_domic_fam;numeric;d
CodEscoaSanitarioDomicFam;cod_escoa_sanitario_domic_fam;numeric;d
CodDestinoLixoDomicFam;cod_destino_lixo_domic_fam;numeric;d
CodIluminacaoDomicFam;cod_iluminacao_domic_fam;numeric;d
CodCalcamentoDomicFam;cod_calcamento_domic_fam;numeric;d
CodFamiliaIndigenaFam;cod_familia_indigena_fam;numeric;d
IndFamiliaQuilombolaFam;ind_familia_quilombola_fam;numeric;d
QtdPessoasDomicFam;qtd_pessoas_domic_fam;numeric;d
QtdPessoaInter017AnosFam;qtd_pessoa_inter_0_17_anos_fam;numeric;d
QtdPessoaInter1864AnosFam;qtd_pessoa_inter_18_64_anos_fam;numeric;d
QtdPessoaInter65AnosFam;qtd_pessoa_inter_65_anos_fam;numeric;d
ValDespEnergiaFam;val_desp_energia_fam;character;c
ValDespAguaEsgotoFam;val_desp_agua_esgoto_fam;character;c
ValDespGasFam;val_desp_gas_fam;character;c
ValDespAlimentacaoFam;val_desp_alimentacao_fam;character;c
ValDespTransporFam;val_desp_transpor_fam;character;c
ValDespAluguelFam;val_desp_aluguel_fam;character;c
ValDespMedicamentosFam;val_desp_medicamentos_fam;character;c
NumNisPessoaAtual;num_nis_pessoa_atual;numeric;d
DtaNascPessoa;dta_nasc_pessoa;character;c
CodParentescoRfPessoa;cod_parentesco_rf_pessoa;numeric;d
CodLocalNascimentoPessoa;cod_local_nascimento_pessoa;numeric;d
CodDeficienciaMemb;cod_deficiencia_memb;numeric;d
CodSabeLerEscreverMemb;cod_sabe_ler_escrever_memb;numeric;d
IndFrequentaEscolaMemb;ind_frequenta_escola_memb;numeric;d
CodCursoFrequentaMemb;cod_curso_frequenta_memb;numeric;d
CodAnoSerieFrequentaMemb;cod_ano_serie_frequenta_memb;numeric;d
CodCursoFrequentouPessoaMemb;cod_curso_frequentou_pessoa_memb;numeric;d
CodAnoSerieFrequentouMemb;cod_ano_serie_frequentou_memb;numeric;d
CodConcluiuFrequentouMemb;cod_concluiu_frequentou_memb;numeric;d
CodTrabalhouMemb;cod_trabalhou_memb;numeric;d
CodAfastadoTrabMemb;cod_afastado_trab_memb;numeric;d
CodAgriculturaTrabMemb;cod_agricultura_trab_memb;numeric;d
CodPrincipalTrabMemb;cod_principal_trab_memb;numeric;d
ValRemunerEmpregoMemb;val_remuner_emprego_memb;character;c
ValRendaBruta12MesesMemb;val_renda_bruta_12_meses_memb;character;c
ValRendaDoacaoMemb;val_renda_doacao_memb;character;c
ValRendaAposentMemb;val_renda_aposent_memb;character;c
ValRendaSeguroDesempMemb;val_renda_seguro_desemp_memb;character;c
ValRendaPensaoAlimenMemb;val_renda_pensao_alimen_memb;character;c
ValOutrasRendasMemb;val_outras_rendas_memb;character;c
