"Tabela 1736 - INPC - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de abril/1979)"
"Brasil"
"Variável - INPC - Variação mensal (%)"
"Mês",""
"março 1979","..."
"abril 1979","3.45"
"maio 1979","1.76"
"junho 1979","3.00"
"julho 1979","5.36"
"agosto 1979","5.79"
"setembro 1979","6.61"
"outubro 1979","5.06"
"novembro 1979","6.10"
"dezembro 1979","4.51"
"janeiro 1980","6.56"
"fevereiro 1980","4.15"
"março 1980","5.12"
"abril 1980","4.85"
"maio 1980","5.53"
"junho 1980","5.52"
"julho 1980","5.51"
"agosto 1980","5.15"
"setembro 1980","4.45"
"outubro 1980","9.65"
"novembro 1980","8.03"
"dezembro 1980","6.80"
"janeiro 1981","6.21"
"fevereiro 1981","6.05"
"março 1981","5.35"
"abril 1981","6.54"
"maio 1981","5.51"
"junho 1981","5.07"
"julho 1981","6.20"
"agosto 1981","6.12"
"setembro 1981","5.28"
"outubro 1981","4.62"
"novembro 1981","5.23"
"dezembro 1981","5.69"
"janeiro 1982","6.71"
"fevereiro 1982","6.58"
"março 1982","5.24"
"abril 1982","5.65"
"maio 1982","6.66"
"junho 1982","7.14"
"julho 1982","6.39"
"agosto 1982","5.57"
"setembro 1982","4.30"
"outubro 1982","3.91"
"novembro 1982","5.26"
"dezembro 1982","8.19"
"janeiro 1983","9.14"
"fevereiro 1983","8.04"
"março 1983","7.22"
"abril 1983","6.57"
"maio 1983","6.71"
"junho 1983","10.83"
"julho 1983","11.43"
"agosto 1983","9.85"
"setembro 1983","11.27"
"outubro 1983","10.10"
"novembro 1983","7.37"
"dezembro 1983","8.34"
"janeiro 1984","9.39"
"fevereiro 1984","9.74"
"março 1984","9.83"
"abril 1984","9.52"
"maio 1984","8.71"
"junho 1984","9.96"
"julho 1984","9.11"
"agosto 1984","8.57"
"setembro 1984","11.10"
"outubro 1984","10.49"
"novembro 1984","10.33"
"dezembro 1984","11.62"
"janeiro 1985","11.84"
"fevereiro 1985","10.95"
"março 1985","9.94"
"abril 1985","8.58"
"maio 1985","7.20"
"junho 1985","8.33"
"julho 1985","10.08"
"agosto 1985","11.61"
"setembro 1985","10.09"
"outubro 1985","10.25"
"novembro 1985","14.18"
"dezembro 1985","15.75"
"janeiro 1986","15.01"
"fevereiro 1986","12.46"
"março 1986","3.18"
